;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"TROUVEZ LA BONNE BATTERIE
POUR VOTRE VÉHICULE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modèle;;;;;;;;Type;;;;;;;;;;;;;;Carburant;de            à;;;;;;;AGM;;;EFB;CONVENTIONNELLE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALFA ROMEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modèle;;;;;;;;Type;;;;;;;;;;;;;;Carburant;de            à;;;;;;;AGM;;;EFB;CONVENTIONNELLE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Q5 (8RB)                              2.0 TDI quattro                                                Diesel    2008-11                     F44
Q7 (4LB)                               3.0 TDI quattro                                                Diesel   2006-032015-08        F44       FL1050";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"FIESTA V (JH_, JD_)            1.25 16V, 1.4 16V, 1.6 16V                             Petrole   2001-11  2008-06                                        F3
FIESTA   VI   (CB1,   CCN)  1.0, 1.0 EcoBoost, 1.0 Sport, 1.6 Ti                 Petrole   2008-06                                 FL652            F6";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q5 (8RB);;;;;;;;2.0 TDI, 2.0 TDI quattro;;;;;;;;;;;;;;Diesel;2012-06;;;;;;;;;;F32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FIESTA   VI   (CB1,   CCN);;;;;;;;1.4 TDCi, 1.5 TDCi;;;;;;;;;;;;;;Diesel;2009-01;;;;;;;;;;FL652;;;F6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FIESTA VI (CB1, CCN);;;;;;;;1.6 TDCi;;;;;;;;;;;;;;Diesel;2010-02;;;;;;;;;;FL652;;;F8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1 (E81)                                  116 d, 118 d, 120 d                                         Diesel   2006-09 2011-12       F42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FIESTA VII;;;;;;;;1.5 TDCi                                                          Diesel    2010-08                                  FL652            F8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1 (E87);;;;;;;;116 d, 118 d, 120 d;;;;;;;;;;;;;;Diesel;2004-06;;2011-06;;;;;F42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FOCUS (DAW, DBW);;;;;;;;1.8 TDCi, 1.8 Turbo DI / TDDi;;;;;;;;;;;;;;Diesel;1998-10;;2004-11;;;;;;;;FL652;;;F8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1 (F20)                                 114 d, 116 d, 118 d, 120 d, 125d                      Diesel    2011-07   2019-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F42;;;;;;;FOCUS (DAW, DBW);;;;;;;;;;1.4 16V, 1.6 16V, 1.8 16V                                Petrole  1998-10  2004-11                                          F3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1 (F21);;;;;;;;114 d, 116 d, 120 d,;;;;;;;;;;;;;;Diesel;2011-12;;;;;;;F42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FOCUS C-MAX (DM2);;;;;;;;1.6 TDCi, 1.8 TDCi, 2.0 TDCi;;;;;;;;;;;;;;Diesel;2003-10;;2007-03;;;;;;;;FL752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 Active Tourer (F45), 2 Coupe (F22, F87), 2 Gran Tourer (F46);;;;;;;;;;;;;;;;;;214 d, 216 d, 218 d                                         Diesel    2014-07;;;;;;;;;;;;;;;;;F42;;;;;;;"FOCUS II (DA_, HCP, DP)
FUSION               (JU_)
FUSION               (JU_)";;;;;;;;;;;;;;;;;"1.6 TDCi, 1.8 TDCi, 2.0 TDCi                           Diesel   2004-07  2012-09                    FL652            F8
1.4 TDCi, 1.6 TDCi                                          Diesel   2002-08 2012-12                   FL652            F8";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FOCUS Turnier (DNW);;;;;;;;1.8 TDCi, 1.8 Turbo DI / TDDi;;;;;;;;;;;;;;Diesel;1999-02;;2004-11;;;;;;;;FL652;;;F8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3 (E36);;;;;;;;325 td, 325 tds;;;;;;;;;;;;;;Diesel;1991-09;;1998-02;;;;;F43;;;FL1000;;;F10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KGA L(RABX_Y) (WGR);;;;;;;;1.4, 1.6;;;;;;;;;;;;;;Petrole;2002-08;;2012-12;;;;;;;;;;;F3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3 (E46)                                 318 d, 320 d                                                   Diesel    1998-04  2005-05
3 (E90)                                 318 d, 320 d                                                   Diesel    2004-12   2011-10
3 (F30, F80)                          316 d, 318 d, 320 d, 320 d xDrive                     Diesel    2011-11   2018-10
5 (E60)                                 525 d, 530 d                                                   Diesel   2004-06 2010-03
X3 (E83)                               2.0 D                                                              Diesel   2004-09 2008-08
X5 (E53)                               3.0 D                                                              Diesel    1999-12 2006-09";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"F42
F42 F43
F44
F42
F43";;;"FL800
FL800
FL1050
FL800
FL1000";;;;"F12
F12
F12 F10";;;;;"KA (RU8)
KUGA I MONDEO
MONDEO III Turnier (BWY)
S-MAX (WA6) TRANSIT";;;;;;;"1.9 TDI                                                            Diesel    1995-03  2006-05                  FL1000
1.2                                                                  Petrole  2008-10                                  F30
2.0 TDCi, 2.0 TDCi 4x4                                    Diesel   2008-03  2012-11                    FL652
1.8 16V                                                           Petrole   2000-10 2007-03
1.8 TDCi, 2.0 TDCi                                          Diesel   2006-05  2014-12                    FL752";;;;;;;;;;;;;;;;;;;;;;;"F10
F1
F8
F6";;;;;;;;
3 (E46);;;;;;;;330 d, 330 xd;;;;;;;;;;;;;;Diesel;1999-10;;2005-02;;;;;F43;;;FL1000;;;F10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KA+ (UK, FK);;;;;;;;1.3 i;;;;;;;;;;;;;;Petrole;1996-09;;2008-11;;;;;;;;;;;F3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3 (E90);;;;;;;;316 d, 325 , 330 d, 330 xd;;;;;;;;;;;;;;Diesel;2005-09;;2011-12;;;;;F43;;;FL1000;;;F10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
III (B5Y);;;;;;;;1.2, 1.2 Ti-VCT;;;;;;;;;;;;;;Petrole;2016-06;;;;;;;;;;;;;F3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5 (E39);;;;;;;;520 d, 525 d, 525 td, 530 d;;;;;;;;;;;;;;Diesel;1997-01;;2003-06;;;;;F43;;;FL1000;;;F10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;2.0 16V DI / TDDi / TDCi;;;;;;;;;;;;;;Diesel;2000-10;;2007-03;;;;;;;;FL652;;;F8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X1 (E84);;;;;;;;sDrive 16 d, sDrive 18 d, sDrive 20 d, xDrive 18 d, xDrive 20 d;;;;;;;;;;;;;;Diesel;2009-09;;2015-06;;;;;F42;;;F32;;;F7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RANGER (TKE);;;;;;;;3.2 TDCi 4x4;;;;;;;;;;;;;;Diesel;2011-04;;;;;;;;;;FL752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X3 (F25);;;;;;;;xDrive 20 d;;;;;;;;;;;;;;Diesel;2010-09;;2014-03;;;;;F42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Box (E_ _) TRANSIT Box;;;;;;;;2.5 DI, 2.5 TD, 2.5 TDI;;;;;;;;;;;;;;Diesel;1991-05;;2000-03;;;;;;;;FL652;;;F8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(FA_ _)                                 2.2 TDCi, 2.4 Di, 2.4 TDCi, 2.4 TDE                 Diesel   2000-01 2014-08                    FL752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X5 (E70);;;;;;;;3.0 D, 3.0 sd, xDrive 30 d, xDrive 35 d, xDrive 40 d;;;;;;;;;;;;;;Diesel;2007-02;;2013-07;;;;;F43;;;FL1000;;;F10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHEVROLET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MATIZ (M200, M250);;;;;;;;0.8;;;;;;;;;;;;;;Petrole;2005-03;;2013-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHRYSLER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PT CRUISER (PT_);;;;;;;;2.2 CRD;;;;;;;;;;;;;;Diesel;2002-03;;2010-12;;;;;FK508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITROËN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BERLINGO (B9);;;;;;;;"1.6  HDi  75,  1.6  HDi  75  16V,  1.6  HDi
90,  1.6   BlueHDi   100,   1.6   BlueHDi
120,  1.6 HDi 110, 1.6 HDi 115";;;;;;;;;;;;;;Diesel;2008-04;;;;;;;F41;;;F31;;;F4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
