ID,Brand,Model,ConstructionYearStart,ConstructionYearEnd,TypeConception,LightType,Position,Category,PartNumber,Notes,Source
105,"ALFA ROMEO","156 Sportwagon (932_)","01/00","05/06","Halogen","PY21W","Clignotant avant voiture","clignotant_avant","","","OSRAM CSV Guide"
106,"ALFA ROMEO","156 Sportwagon (932_)","01/00","05/06","Halogen","P21W","Clignotant arrière voiture","clignotant_arriere","","","OSRAM CSV Guide"
107,"ALFA ROMEO","156 Sportwagon (932_)","01/00","05/06","Halogen","P21","Feux de stop","feu_stop","","","OSRAM CSV Guide"
108,"ALFA ROMEO","156 Sportwagon (932_)","01/00","05/06","Halogen","W5W","Feux de plaque d'immatriculation","feu_plaque","","","OSRAM CSV Guide"
109,"ALFA ROMEO","156 Sportwagon (932_)","01/00","05/06","Halogen","6411","Éclairage intérieur","eclairage_interieur","","","OSRAM CSV Guide"
110,"ALFA ROMEO","156 Sportwagon (932_)","01/00","05/06","Halogen","6413","Feu de coffre","feu_coffre","","","OSRAM CSV Guide"
111,"ALFA ROMEO","159 (939_)","09/05","11/11","Halogen","H7","Feu de croisement","feu_de_croisement","","","OSRAM CSV Guide"
112,"ALFA ROMEO","159 (939_)","09/05","11/11","Halogen","H7","Feu de route","feu_de_route","","","OSRAM CSV Guide"
113,"ALFA ROMEO","159 (939_)","09/05","11/11","Halogen","-","Feux antibrouillard","feu_antibrouillard","","","OSRAM CSV Guide"
114,"ALFA ROMEO","159 (939_)","09/05","11/11","Halogen","W5W","Feux de route supplémentaires","feu_route_supplementaire","","","OSRAM CSV Guide"
115,"ALFA ROMEO","159 (939_)","09/05","11/11","Halogen","PY21W","Clignotant avant voiture","clignotant_avant","","","OSRAM CSV Guide"
116,"ALFA ROMEO","159 (939_)","09/05","11/11","Halogen","PY21W","Clignotant arrière voiture","clignotant_arriere","","","OSRAM CSV Guide"
117,"ALFA ROMEO","159 (939_)","09/05","11/11","Halogen","P21","Feux de stop","feu_stop","","","OSRAM CSV Guide"
118,"ALFA ROMEO","159 (939_)","09/05","11/11","Halogen","W5W","Feux de plaque d'immatriculation","feu_plaque","","","OSRAM CSV Guide"
119,"ALFA ROMEO","159 (939_)","09/05","11/11","Halogen","6411","Éclairage intérieur","eclairage_interieur","","","OSRAM CSV Guide"
120,"ALFA ROMEO","159 (939_)","09/05","11/11","Halogen","6411","Feu de coffre","feu_coffre","","","OSRAM CSV Guide"
