Brand;Vehicle;Motorisation;Fuel;Start;End;Battery_AGM;Battery_EFB;Battery_Conventional
COUNTRYMAN;(R60);Cooper / S / S ALL4, One;Petrol;2010-08-01;2016-10-01;F41;;
MITSUBISHI;L 200 / TRITON (KA_T,;2.5 DiD / 4WD;Diesel;2005-11-01;2015-12-01;;FL954;
NISSAN;CABSTAR (F24M, F24W);DCI, 45.15 DCI 3.0;Diesel;2006-09-01;2013-12-01;;FL955;
NISSAN;NP300 NAVARA (D40)2.5 dCi 4WD;NV200 Box Body / Estate;Diesel;2006-10-01;2012-06-01;F41;F30;
NISSAN;PATHFINDER III (R51);2.5 dCi / 4WD;Diesel;2005-01-01;;;F32;
PRIMERA;Hatchback (P11);1.6 16V;Petrol;1996-09-01;2002-07-01;;F31;
PRIMERA;+2   I (J10,    NJ10,     JJ10E);Drive,  2.0 dCi / All-wheel Drive,;Diesel;2007-02-01;2013-12-01;;F32;
PRIMERA;Road Vehicle (J11, J11_);1.5 dCi, 1.6 dCi / ALL MODE 4x4-i;Diesel;2013-11-01;;;F32;
PRIMERA;Road Vehicle (J11, J11_);1.2 DIG-T, 1.6 DIG-T;Petrol;2013-11-01;;;F32;
PRIMERA;X-TRAIL (T3 2_);1.6 dCi, 1.6 dCi ALL MODE;Diesel;2014-04-01;2013-11-01;F41;FL955;
OPEL;ASTRA G Estat  e (T98);2.0 DI, 2.0 DTI 16V;Diesel;1998-02-01;2004-07-01;;FL652;
OPEL;CORSA D (S07);1.3 CDTI 16V, 1.7 DI 16V, 1.7 CDTI 16V;Diesel;2006-07-01;2011-06-01;F41;FL652;
OPEL;1.3 CDTI    (L08,  L68);1.4 / Turbo;Petrol;2014-09-01;2014-08-01;F40;F30;
OPEL;CROSSLAND X (P17)1.2;SI VOTRE VÉHICULE EST ÉQUIPÉ D’UN SYSTÈME;Petrol;2017-03-01;;F42;F31;F1
OPEL;X ( J13);1.6 CDTI, 1.7 CDTI / 4x4;Diesel;2015-01-01;2017-03-01;F41;FL652;
OPEL;VECTRA C GTS (Z02)1.9 CDTI, 2.2 DTI 16V;1.4 / 4x4;Diesel;2004-04-01;2009-01-01;;FL652;
PEUGEOT;ZAFIRA A MPV (T98)1.6 16V, 1.8 16V;1081.0 Vti, 1.0 VTi 72, 1.2;Petrol;2014-05-01;2005-06-01;;F31;
PEUGEOT;2008 (CU_);1.2 THP 110 / PureTech 110, 1.2;Petrol;2015-01-01;2014-05-01;F41;F30;
PEUGEOT;206 Hatchback (2A/C);2.0 HDI 90;Diesel;1998-09-01;2009-09-01;F41;F31;
PEUGEOT;206 SW (2E/K)1.4, 1.4 16V, 1.6 16V;206 Van1.4 Hdi, 1.9 D;Diesel;1999-04-01;2009-03-01;;F31;
PEUGEOT;207 (WA_, WC_) |;1.4 Hdi, 1.6 Hdi, 1.6 Hdi 110;Diesel;2006-02-01;2015-12-01;;F31;
PEUGEOT;207 (WA_, WC_) |;1.4 16V, 1.6 16V Vti;Petrol;2007-02-01;2013-10-01;;F31;
PEUGEOT;207 (WA_, WC_) |;1.4, 1.6 16V, 1.6 16V Turbo;Petrol;2006-02-01;2013-10-01;;F30;
PEUGEOT;3008 MPV (0U_)2.0 HDi Hybrid4;2011-022016-08;Electro;2009-06-01;2016-08-01;F41;F32;
PEUGEOT;3008 SUV (M_)1.2 THP/ PureTech 130, 1.6 THP 165;1.9 D, 1.9 DT, 2.0 HDI 90;Diesel;1993-05-01;2002-12-01;;F31;
PEUGEOT;307 (3A/C);1.4 Hdi, 1.6 Hdi, 1.6 HDi 110, 2.0;Diesel;2001-10-01;2009-03-01;;F31;
PEUGEOT;307 CC (3B)2.0 16V;etrol;Diesel;2002-03-01;2009-12-01;;F31;
PEUGEOT;308 SW I (4E_, 4H_)1.6 HDi;308 II1.5 BlueHDi 130;Diesel;2009-11-01;2014-10-01;F41;F32;
PEUGEOT;406 Break (8E/F)1.9 TD, 2.0 HDI 90 / 110, 2.2 Hdi;2.2   Hdi;Diesel;1996-10-01;2004-10-01;;F31;
PEUGEOT;407 SW (6E_)2.0 HDI / 135 / 170, 2.7 Hdi;2010-12;Diesel;2004-07-01;2010-12-01;;F32;
PEUGEOT;5008 (0U_, 0E_);2.0 HDi 136 / BlueHDi 136, 2.0 HDi;Diesel;2009-09-01;2017-03-01;F41;F31;
PEUGEOT;607 (9D, 9U)2.0 HDI, 2.2 Hdi;180, 2.0 HDi 180 RXH;Diesel;2000-02-01;2011-07-01;;F32;
PEUGEOT;BIPPER (AA_)1.3 HDi 75, 1.4 Hdi;BIPPER Tepee1.3 HDi 75 / 80, 1.4 Ddi;Diesel;2008-04-01;;;F31;
PEUGEOT;BOXER Box (230L);2.8 HDI / 4x4;Diesel;1994-03-01;2002-04-01;F41;FL1000;
PEUGEOT;BOXER Box (230L)1.9 D, 1.9 DT, 1.9 DT 4x4;BOXER Platform/Chassis2.2 HDi 100 / 120;Diesel;2006-04-01;2002-04-01;F43;F32;
PEUGEOT;EXPERT Box (222)1.9 TD / D / 70;BOXER Platform/Chassis2.2 HDi 110 / 130 / 150;Diesel;1996-02-01;2006-12-01;;F31;
PEUGEOT;EXPERT Box (V_);1.6 BlueHDi 95 / 115, 2.0 BlueHDi;Diesel;2016-04-01;;F41;;
PEUGEOT;EXPERT Box (VF3A_,;2.0 HDi 120 / 130 / 140 / 165;Diesel;2007-01-01;;;F32;
PEUGEOT;EXPERT Box (VF3A_,;1.6 HDi 90 8V / 16V;Diesel;2007-01-01;;;F31;
PEUGEOT;EXPERT Tepee (VF3X_)2.0 HDi 100 / 120 / 130 / 140 / 165;PARTNER Box1.6 Hdi / BlueHDi 75 / 100 / 120;Diesel;2008-04-01;;F41;F32;
RANCH;PARTNER Box (5) |;1.6 HDi 75 / 90, 1.9 D, 2.0 HDI;Diesel;1996-05-01;2015-12-01;;F31;
RANCH;(5F)    |    PARTNE;1.6 HDi 75 / 90, 1.9 D, 2.0 HDI;Diesel;1998-12-01;2015-12-01;F41;F31;
RANCH;PARTNER Tepee;1.6 HDI / 16V / BlueHDi 75 / 90 /;Diesel;2008-04-01;;F41;;
RENAULT;Gas (LPG);1998-092009-06;Petrol;1998-09-01;2005-05-01;F41;F30;
