Brand;Vehicle;Motorisation;Fuel;Start;End;Battery_AGM;Battery_EFB;Battery_Conventional
CITROËN;BERLINGO Box (K9);BlueHDi 100;Diesel;2018-06-01;;F41;F31;
CITROËN;BERLINGO Platform/ Chassis (B9);1.6 HDi 90 16V;Diesel;2008-04-01;;;F31;
CITROËN;C1 (PM_, PN_);1.4 HDi;Diesel;2005-06-01;2014-09-01;;F30;F1
CITROËN;C1 II (PA_, PS_);1.0 VTi 68, 1.0 VTi 72, 1.2 VTi 82;Petrole;2014-04-01;;;F31;
CITROËN;C15 (VD-_);1.8 D, 1.9 D;Diesel;1986-07-01;2005-12-01;;F31;
CITROËN;C2 (JM_);1.1, 1.4, 1.4 16V;Petrole;2006-06-01;;;F30;F1
CITROËN;C2 (JM_);1.4 HDi;Diesel;2003-09-01;2009-12-01;;F31;F4
CITROËN;C3 AIRCROSS II (2R_, 2C_);1.2 PureTech 82, 110, 130;Petrole;2017-06-01;;;F31;
CITROËN;C3 I (FC_, FN_);1.4 Hdi, 1.4 16V Hdi, 1.6 16V Hdi;Diesel;2002-02-01;;;F31;F4
CITROËN;C3 I (FC_, FN_);1.1 i, 1.4 i, 1.4 16V, 1.6 16V;Petrole;2002-02-01;;;F31;F1
CITROËN;C3 II (SC_);1.6 BlueHDi 100, 120, 1.6 HDi 90, 110, 115, 1.6 BlueHDi 75, 1.6 BlueHDi 100;Diesel;2009-11-01;;F41;F31;F4
CITROËN;C3 II (SC_);1.1, 1.4, 1.0 VTi 68, 1.2 VTi 82, 1.6 VTi 120;Petrole;2012-08-01;2016-09-01;;F30;F1
CITROËN;C3 II (SC_);1.4 VTi 95;Petrole;2009-11-01;;;F31;F4
CITROËN;C3 III (SX);1.2 THP 110, 1.2 VTi 68, 1.2 VTi 82;Petrole;2016-07-01;;F41;;
CITROËN;C3 III (SX);1.6 BlueHDi 75, 1.6 BlueHDi 100;Diesel;2016-07-01;;F41;;
CITROËN;C3 Picasso (SH_);1.6 BlueHDi 100, 1.6 HDi 90, 1.6 HDi 110, 1.6 HDi 115;Diesel;2010-05-01;;F41;;
CITROËN;C3 Picasso (SH_);1.4 VTi 95;Petrole;2009-02-01;;;F30;F1
CITROËN;C3 Picasso (SH_);1.2 THP 110;Petrole;2015-01-01;;F41;;
CITROËN;C3 Pluriel (HB_);1.4, 1.6;Petrole;2003-05-01;;;F30;F1
CITROËN;C3 Pluriel (HB_);1.4 HDi;Diesel;2004-04-01;;;F30;F1
CITROËN;C4 AIRCROSS;1.6 HDi 115, 1.6 HDi 115 AWC, 1.8 HDi 150 AWC;Diesel;2012-04-01;;F41;;
CITROËN;C4 CACTUS;1.6 HDi 90, 1.6 BlueHDi 100;Diesel;2014-09-01;;F41;;
CITROËN;C4 CACTUS;1.2 VTi 75 / PureTech 75, 1.2 VTi 82;Petrole;2014-09-01;;;F30;F1
CITROËN;C4 CACTUS;1.2 THP 110;Petrole;2014-09-01;;F41;;
CITROËN;C4 Grand Picasso I (UA_);1.6 Hdi, 1.6 HDi 110, 2.0 HDi 138, 2.0 HDi 150, 2.0 HDi 165;Diesel;2006-10-01;2013-12-01;F41;F32;
CITROËN;C4 Grand Picasso II;1.6 HDi / BlueHDi 115/120, 2.0 BlueHDi 150;Diesel;2013-06-01;;F41;;
CITROËN;C4 Grand Picasso II;1.2 THP 130, 1.6 THP 165, 1.6 VTi 120;Petrole;2013-09-01;;F41;F31;F4
CITROËN;C4 I (LC_);1.4 16V, 1.6 16V;Petrole;2004-11-01;2011-07-01;;F30;F1
CITROËN;C4 II (B7);1.6 BlueHDi 100, 120, 1.6 HDi 90, 110, 115, 2.0 HDi / BlueHDi 150;Diesel;2009-11-01;;F41;F32;F7
CITROËN;C4 II (B7);1.2 THP 110, 130;Petrole;2014-04-01;;F41;;
CITROËN;C4 II (B7);1.6 VTi 120;Petrole;2009-11-01;2016-12-01;;F31;F4
CITROËN;C4 Picasso I MPV (UD_);1.6 Hdi, 2.0 HDi 138, 150;Diesel;2006-10-01;2013-08-01;F41;;
CITROËN;C4 Picasso I MPV (UD_);1.6 HDi 110;Diesel;2010-09-01;2013-08-01;;F31;F4
CITROËN;C4 Picasso II;1.6 BlueHDi 100, 120, 1.6 Hdi / BlueHDi 115 2.0 HDi 135/ BlueHDi 150;Diesel;2013-02-01;;F41;;
